ID,nrpts,area,density,ecc,center_1,center_2
179,469,0.1632753,2872.449,0.7542769,31.26026,23.82998
180,225,0.07908244,2845.132,0.3721913,30.93022,34.6209
181,592,0.1686194,3510.865,0.5357175,35.40155,30.93883
183,587,0.1941652,3023.198,0.5528454,26.10402,19.83274
184,305,0.1131384,2695.812,0.4795108,35.57872,21.99245
185,845,0.2053365,4115.196,0.7970928,27.18271,18.21327
186,75,0.02329171,3220.03,0.7818013,38.80279,32.18397
187,520,0.1478495,3517.09,0.8477246,24.62202,20.22591
188,135,0.02173474,6211.253,0.6733195,30.34376,16.60098
189,626,0.2510726,2493.303,0.7446083,28.80369,14.91759
190,261,0.1032411,2528.062,0.8682143,19.80266,33.1963
191,61,0.02419126,2521.572,0.7842857,25.55961,15.26773
193,104,0.03639941,2857.189,0.8588201,27.33646,36.35281
194,629,0.2106338,2986.225,0.6929864,25.19019,22.4004
195,1077,0.2620342,4110.15,0.7523988,31.99229,37.44112
196,77,0.03215853,2394.388,0.8116919,37.90295,23.39587
197,649,0.1819088,3567.723,0.8600813,34.46467,34.84059
198,467,0.1259148,3708.858,0.7429377,29.77871,28.91542
199,358,0.1129237,3170.283,0.7792561,20.00409,40.43716
202,78,0.03145088,2480.058,0.7004193,35.37469,33.64829
204,206,0.08895285,2315.834,0.8629563,29.41093,31.41768
205,305,0.1029723,2961.962,0.855421,22.66112,26.39691
208,411,0.1093551,3758.398,0.9221486,17.74086,26.43343
210,495,0.1696651,2917.511,0.7653915,29.49319,32.70104
211,287,0.114672,2502.791,0.8817015,26.03449,43.5041
212,552,0.1740139,3172.161,0.7408392,26.20222,41.95128
213,223,0.05954045,3745.353,0.5390916,36.4143,18.72023
214,356,0.09755657,3649.165,0.6730156,32.24586,17.75871
215,1262,0.3226404,3911.475,0.8486395,21.88958,35.08116
216,145,0.03805797,3809.978,0.7014663,19.08992,22.60399
217,134,0.03003116,4462.032,0.676711,26.19928,15.35098
218,145,0.04383866,3307.583,0.5947336,32.90707,19.3726
